word,meaning
ablaze,keenly excited (especially sexually
able,(usually followed by `to'
abler,(usually followed by `to'
ablest,(usually followed by `to'
abloom,bursting into flower
ablution,the ritual washing of a priest's hands or of sacred vessels
ablutions,the ritual washing of a priest's hands or of sacred vessels
ably,Not found
abnegate,deny oneself (something
abnegated,deny oneself (something
abnegates,deny oneself (something
abnegating,deny oneself (something
abnegation,the denial and rejection of a doctrine or belief
abnegator,one who gives up or relinquishes or renounces something
abnegators,one who gives up or relinquishes or renounces something
abnormal,not normal; not typical or usual or regular or conforming to a norm
abnormalities,an abnormal physical condition resulting from defective genes or developmental deficiencies
abnormality,an abnormal physical condition resulting from defective genes or developmental deficiencies
abnormally,Not found
aboard,Not found
abode,any address at which you dwell more than temporarily
abodes,any address at which you dwell more than temporarily
abolish,do away with
abolished,do away with
abolishes,do away with
abolishing,do away with
abolishment,the act of abolishing a system or practice or institution (especially abolishing slavery
abolition,the act of abolishing a system or practice or institution (especially abolishing slavery
abolitionism,the doctrine that calls for the abolition of slavery
abolitionist,a reformer who favors abolishing slavery
abolitionists,a reformer who favors abolishing slavery
abominable,unequivocally detestable
abominably,Not found
abominate,find repugnant
abominated,find repugnant
abominates,find repugnant
abominating,find repugnant
abomination,a person who is loathsome or disgusting
abominations,a person who is loathsome or disgusting
abominator,one who hates or loathes
abominators,one who hates or loathes
aboriginal,an indigenous person who was born in a particular place
aborigine,an indigenous person who was born in a particular place
aborigines,an indigenous person who was born in a particular place
abort,the act of terminating a project or procedure before it is completed
aborted,terminate before completion
abortifacient,a drug (or other chemical agent
abortifacients,a drug (or other chemical agent
aborting,terminate before completion
abortion,termination of pregnancy
abortionist,a person (who should be a doctor
abortionists,a person (who should be a doctor
abortions,termination of pregnancy
abortive,failing to accomplish an intended result
abortively,Not found
aborts,the act of terminating a project or procedure before it is completed
abortus,a human fetus whose weight is less than 0.5 kilogram when removed or expelled from the mother's body
abound,be abundant or plentiful; exist in large quantities
abounded,be abundant or plentiful; exist in large quantities
abounding,be abundant or plentiful; exist in large quantities
abounds,be abundant or plentiful; exist in large quantities
about,on the move
above,an earlier section of a written text
aboveground,on or above the surface of the ground
abr,not found
abracadabra,gibberish and nonsense
abrade,wear away
abraded,wear away
abrader,a tool or machine used for wearing down or smoothing or polishing
abraders,a tool or machine used for wearing down or smoothing or polishing
abrades,wear away
abrading,wear away
abraham,"the first of the Old Testament patriarchs and the father of Isaac; according to Genesis, God promised to give Abraham's family (the Hebrews"
abrasion,an abraded area where the skin is torn or worn off
abrasions,an abraded area where the skin is torn or worn off
abrasive,a substance that abrades or wears down
abrasively,not found
abrasives,a substance that abrades or wears down
abreaction,(psychoanalysis
abreast,being up to particular standard or level especially in being up to date in knowledge
abridge,reduce in scope while retaining essential elements
abridged,reduce in scope while retaining essential elements
abridgement,a shortened version of a written work
abridgements,a shortened version of a written work
abridger,one who shortens or abridges or condenses a written work
abridgers,one who shortens or abridges or condenses a written work
abridges,reduce in scope while retaining essential elements
abridging,reduce in scope while retaining essential elements
abridgment,a shortened version of a written work
abridgments,a shortened version of a written work
abroad,in a foreign country
abrogate,revoke formally
abrogated,revoke formally
abrogates,revoke formally
abrogating,revoke formally
abrogation,the act of abrogating; an official or legal cancellation
abrogator,an authority or official empowered to abolish or annul or repeal
abrogators,an authority or official empowered to abolish or annul or repeal
abrupt,marked by sudden changes in subject and sharp transitions
abruptly,Not found
abruptness,an abrupt discourteous manner
abscess,symptom consisting of a localized collection of pus surrounded by inflamed tissue
abscessed,infected and filled with pus
abscesses,symptom consisting of a localized collection of pus surrounded by inflamed tissue
abscise,shed flowers and leaves and fruit following formation of a scar tissue
abscised,shed flowers and leaves and fruit following formation of a scar tissue
abscises,shed flowers and leaves and fruit following formation of a scar tissue
abscising,shed flowers and leaves and fruit following formation of a scar tissue
abscissa,the value of a coordinate on the horizontal axis
abscissas,the value of a coordinate on the horizontal axis
abscission,shedding of flowers and leaves and fruit following formation of scar tissue in a plant
abscond,run away; usually includes taking something or somebody along
absconded,run away; usually includes taking something or somebody along
absconder,a fugitive who runs away and hides to avoid arrest or prosecution
absconders,a fugitive who runs away and hides to avoid arrest or prosecution
absconding,run away; usually includes taking something or somebody along
absconds,run away; usually includes taking something or somebody along
abseil,(mountaineering
abseiled,descend by means of a rappel
abseiler,a person who descends down a nearly vertical face by using a doubled rope that is wrapped around the body and attached to some high point
abseilers,a person who descends down a nearly vertical face by using a doubled rope that is wrapped around the body and attached to some high point
abseiling,descend by means of a rappel
abseils,(mountaineering
absence,the state of being absent
absences,the state of being absent
absent,go away or leave
absente,not found
absented,go away or leave
absentee,one that is absent or not in residence
absenteeism,habitual absence from work
absentees,one that is absent or not in residence
absentia,not found
absenting,go away or leave
absently,Not found
absentminded,lost in thought; showing preoccupation
absentmindedly,Not found
absents,go away or leave
absinth,strong green liqueur flavored with wormwood and anise
absinthe,aromatic herb of temperate Eurasia and North Africa having a bitter taste used in making the liqueur absinthe
absinthes,aromatic herb of temperate Eurasia and North Africa having a bitter taste used in making the liqueur absinthe
